,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestPictureNomPrevYearCount,Nominations_Academy_Person_OtherBestPictureNomSameYearCount,Nominations_Academy_Person_OtherBestPictureWinPrevYearCount,Nominations_Academy_Person_OtherNonBestPictureNomPrevYearCount,Nominations_Academy_Person_OtherNonBestPictureNomSameYearCount,Nominations_Academy_Person_OtherNonBestPictureWinPrevYearCount
10,0,0,0,0,0,0,0,0,0,0,0,1,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Darkest Hour  ,0,21,2,1,1,0,0,0,4,0,5,0,0,1,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Dunkirk  ,0,33,0,15,0,0,1,0,6,0,1,0,0,2,1,0
12,0,0,0,0,1,0,0,0,0,0,0,0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Get Out  ,0,3,0,0,1,0,1,0,0,1,1,0,0,0,2,0
13,0,0,0,0,0,0,0,0,0,0,0,1,94.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lady Bird  ,0,9,1,1,0,1,1,0,1,1,7,0,1,0,0,0
14,0,0,0,0,0,0,0,0,0,1,0,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Phantom Thread  ,0,16,1,6,1,0,1,0,3,0,4,0,0,5,1,0
15,0,0,1,0,0,0,0,0,0,0,0,0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,The Post  ,0,80,0,26,0,1,0,0,0,0,8,0,1,5,0,3
16,0,0,0,0,0,0,0,0,0,0,0,1,88.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Three Billboards Outside Ebbing, Missouri  ",0,11,0,2,0,1,0,0,4,1,0,0,0,1,1,1
17,0,0,0,0,0,0,0,0,0,0,0,1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Moonlight  ,1,7,0,1,0,0,1,0,5,1,3,0,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Arrival  ,0,16,1,3,0,0,1,0,5,1,0,0,0,0,0,0
19,0,0,1,0,0,0,0,0,0,0,0,0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fences  ,0,23,0,13,1,0,0,0,1,1,6,0,1,4,1,2
20,0,0,0,0,0,0,0,0,0,0,0,1,71.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hacksaw Ridge  ,0,27,0,5,1,0,1,0,3,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0,0,0,88.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Hell or High Water  ,0,7,0,1,0,0,0,0,2,1,0,0,0,0,0,0
22,0,0,1,0,0,0,0,0,0,0,0,0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hidden Figures  ,0,20,2,5,0,0,0,0,1,1,2,0,1,1,1,0
23,0,1,0,0,0,0,0,0,0,0,0,0,93.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,La La Land  ,0,25,0,4,1,1,1,1,9,1,1,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lion  ,0,7,3,3,0,0,0,0,4,1,0,0,1,0,0,0
25,0,0,0,0,1,0,0,0,0,0,0,0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester by the Sea  ,0,6,0,1,1,0,1,0,2,1,0,0,0,3,0,1
26,0,0,0,0,0,0,0,0,0,0,0,1,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spotlight  ,1,6,0,0,0,0,1,0,3,1,1,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,1,0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bridge of Spies  ,0,59,1,22,0,0,0,0,4,1,7,0,1,5,0,3
28,0,0,0,0,1,0,0,0,0,0,0,0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brooklyn  ,0,13,0,7,0,1,0,0,0,1,1,0,0,0,0,0
29,0,0,0,0,0,0,0,0,1,0,0,0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Mad Max: Fury Road  ,0,27,1,12,0,0,1,0,8,0,1,0,0,2,1,1
30,0,0,0,0,0,0,0,0,0,0,0,1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Room  ,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,1,0,0,81.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Big Short  ,0,27,1,4,0,0,1,0,2,1,3,0,1,3,0,0
32,0,0,0,0,0,0,0,0,0,0,0,1,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,The Martian  ,0,25,1,6,1,0,0,0,4,1,0,0,0,3,0,0
33,0,0,1,0,0,0,0,0,0,0,0,0,76.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The Revenant  ,0,47,0,10,1,0,1,0,9,0,2,1,1,1,1,2
34,0,1,0,0,0,0,0,0,0,0,0,0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Birdman or (The Unexpected Virtue of Ignorance)  ,1,39,1,9,1,0,1,0,5,1,1,0,0,1,2,0
35,0,0,0,0,0,0,0,0,0,1,0,0,72.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,American Sniper  ,0,29,1,7,1,0,0,0,3,1,2,0,2,6,1,3
36,0,0,0,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boyhood  ,0,3,0,0,0,0,1,0,3,1,0,0,0,2,2,0
37,0,0,0,0,0,0,0,0,0,1,0,0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selma  ,0,22,0,5,0,0,0,0,1,0,2,0,2,1,0,1
38,0,0,0,1,0,0,0,0,0,0,0,0,88.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Grand Budapest Hotel  ,0,30,2,10,0,0,1,0,6,1,5,0,1,3,2,0
39,0,1,0,0,0,0,0,0,0,0,0,0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,The Imitation Game  ,0,6,0,3,1,0,1,0,4,1,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,1,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Theory of Everything  ,0,5,0,6,1,1,0,0,1,1,4,0,0,0,1,0
41,0,0,0,0,1,0,0,0,0,0,0,0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Whiplash  ,0,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0
42,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12 Years a Slave  ,1,12,1,1,1,0,1,0,5,1,2,0,0,3,1,0
43,0,0,1,0,0,0,0,0,0,0,0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Hustle  ,0,19,1,7,1,1,1,1,5,1,2,1,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,1,83.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Captain Phillips  ,0,14,1,9,0,0,0,0,4,1,5,0,1,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,1,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dallas Buyers Club  ,0,2,1,1,1,0,0,0,3,1,0,0,0,0,0,0
46,0,1,0,0,0,0,0,0,0,0,0,0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Gravity  ,0,39,2,12,0,1,1,0,7,0,0,0,0,3,2,0
47,0,0,0,0,0,0,0,0,0,0,1,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Her  ,0,42,4,7,0,0,0,0,3,1,1,1,0,1,2,0
48,0,0,0,0,0,0,0,0,1,0,0,0,86.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nebraska  ,0,7,0,2,1,0,1,0,2,1,0,0,0,0,0,0
49,0,1,0,0,0,0,0,0,0,0,0,0,77.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philomena  ,0,10,2,2,0,1,0,0,1,1,1,0,0,0,1,0
50,0,0,1,0,0,0,0,0,0,0,0,0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Wolf of Wall Street  ,0,27,4,15,1,0,1,0,1,1,1,0,0,11,2,1
51,0,1,0,0,0,0,0,0,0,0,0,0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Argo  ,1,19,1,6,0,0,0,0,5,1,1,0,0,6,0,2
52,0,0,0,0,0,0,0,0,1,0,0,0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Amour  ,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0
53,0,0,0,0,1,0,0,0,0,0,0,0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beasts of the Southern Wild  ,0,6,0,1,0,1,1,0,0,1,0,0,0,0,0,0
54,0,0,1,0,0,0,0,0,0,0,0,0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Django Unchained  ,0,39,1,14,0,0,0,0,3,1,1,0,0,0,0,0
55,0,0,1,0,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Les Misérables  ,0,32,1,4,1,0,0,0,6,0,3,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Life of Pi  ,0,25,0,8,0,0,1,0,8,1,2,0,0,1,1,1
57,0,0,0,0,0,0,0,0,0,0,1,0,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Lincoln  ,0,54,1,24,1,0,1,0,8,1,9,0,1,4,1,3
58,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Silver Linings Playbook  ,0,17,0,10,1,1,1,1,3,1,2,0,2,0,0,0
59,0,0,1,0,0,0,0,0,0,0,0,0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Zero Dark Thirty  ,0,7,2,4,0,1,0,0,2,1,0,0,1,0,1,2
60,0,0,0,0,0,0,0,0,1,0,0,0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Artist  ,1,2,0,0,1,0,1,0,6,1,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,0,0,0,0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Extremely Loud & Incredibly Close  ,0,28,1,12,0,0,0,0,1,0,3,0,1,0,0,0
62,0,0,0,0,0,0,0,0,0,0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hugo  ,0,47,0,16,0,0,1,0,8,1,1,0,1,7,1,1
63,0,0,0,0,0,0,0,0,1,0,0,0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Midnight in Paris  ,0,22,0,6,0,0,1,0,1,1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,1,87.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Moneyball  ,0,21,1,7,1,0,0,0,3,1,1,0,0,2,1,0
65,0,0,0,0,0,0,0,0,0,0,0,1,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Descendants  ,0,9,1,2,1,0,1,0,1,1,0,0,0,2,2,1
66,0,1,0,0,0,0,0,0,0,0,0,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Help  ,0,21,1,9,0,1,0,0,2,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,1,0,0,0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Tree of Life  ,0,32,4,5,0,0,1,0,1,0,1,0,0,0,0,0
68,0,0,1,0,0,0,0,0,0,0,0,0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,War Horse  ,0,54,0,20,0,0,0,0,5,0,8,0,1,4,0,3
69,0,0,0,0,0,0,0,0,0,0,0,1,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The King's Speech  ,1,15,0,3,1,0,1,0,8,1,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,1,82.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127 Hours  ,0,3,0,3,1,0,0,0,3,1,0,0,1,0,1,1
71,0,0,0,0,0,0,0,0,0,0,0,1,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black Swan  ,0,4,0,2,0,1,1,0,2,0,0,0,0,0,0,0
72,0,0,0,0,0,1,0,0,0,0,0,0,74.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Inception  ,0,24,0,7,0,0,0,0,6,1,0,0,0,1,1,0
73,0,0,1,0,0,0,0,0,0,0,0,0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,The Fighter  ,0,7,1,3,0,0,1,0,4,1,0,0,0,1,0,0
74,0,0,0,0,1,0,0,0,0,0,0,0,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Kids Are All Right  ,0,8,0,1,0,1,0,0,1,1,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,1,95.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Social Network  ,0,15,0,7,1,0,1,0,4,1,2,1,1,0,0,0
76,0,0,0,0,0,0,1,0,0,0,0,0,92.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toy Story 3  ,0,39,3,22,0,0,0,0,3,1,0,0,0,0,0,0
